id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
28,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
29,2,1,4,19,1,1,0,1,0.76,0.6667,0.35,0.3881,522
30,3,0,7,0,0,5,1,1,0.66,0.6212,0.5,0.0,68
31,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38
32,3,0,7,10,0,4,1,1,0.78,0.7424,0.62,0.0,101
33,2,1,4,21,0,5,1,1,0.44,0.4394,0.33,0.2985,208
34,3,1,6,6,0,0,0,1,0.64,0.6061,0.65,0.1642,25
35,2,0,4,8,0,5,1,1,0.54,0.5152,0.39,0.2985,421
36,4,1,11,18,1,1,0,1,0.52,0.5,0.72,0.1343,551
37,4,0,10,21,0,6,0,1,0.24,0.2121,0.87,0.3582,50
38,4,1,11,5,1,4,0,1,0.24,0.2576,0.75,0.1045,8
39,1,1,1,2,0,2,1,3,0.28,0.2727,0.75,0.2537,12
40,3,1,9,18,0,2,1,1,0.76,0.7424,0.75,0.2239,839
41,3,1,8,12,0,2,1,1,0.72,0.6515,0.45,0.0,305
42,2,0,4,13,0,3,1,1,0.64,0.5909,0.78,0.2985,150
43,2,0,6,6,0,2,1,1,0.6,0.5758,0.78,0.1343,126
44,4,1,9,7,0,2,1,1,0.44,0.4394,0.77,0.194,556
45,3,0,7,0,0,2,1,1,0.7,0.6667,0.79,0.1343,22
46,4,1,10,0,0,3,1,2,0.3,0.3182,0.81,0.1045,16
47,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836,153
48,1,1,2,5,0,2,1,1,0.32,0.2879,0.42,0.3582,21
49,3,1,8,4,0,4,1,1,0.62,0.5758,0.83,0.0,6
50,3,0,9,7,1,1,0,1,0.66,0.6212,0.74,0.1642,41
51,3,0,9,19,0,4,1,1,0.46,0.4545,0.67,0.4627,232
52,3,1,9,8,0,6,0,1,0.7,0.6667,0.79,0.3284,230
53,4,1,10,0,0,0,0,1,0.44,0.4394,0.54,0.1642,154
54,2,1,6,13,0,0,0,1,0.68,0.6364,0.36,0.2836,686
55,1,0,12,19,0,2,1,1,0.34,0.3333,0.87,0.1642,90
56,2,1,4,9,0,4,1,1,0.4,0.4091,0.37,0.2537,351
57,2,1,4,2,0,2,1,1,0.32,0.3182,0.81,0.194,3
58,4,1,9,18,0,0,0,1,0.52,0.5,0.59,0.4478,401
59,4,0,10,4,1,1,0,1,0.46,0.4545,0.94,0.0,6
60,4,1,12,4,0,5,1,1,0.26,0.2727,0.75,0.1045,10
61,3,0,9,2,0,6,0,1,0.46,0.4545,0.82,0.0896,79
62,4,1,9,9,0,2,1,1,0.54,0.5152,0.56,0.2537,409
63,4,0,11,10,0,0,0,1,0.46,0.4545,0.72,0.2836,189
64,2,1,5,7,0,1,1,3,0.52,0.5,0.94,0.194,75
65,4,0,10,3,0,4,1,3,0.46,0.4545,0.94,0.0,4
66,2,0,6,4,0,1,1,1,0.56,0.5303,0.64,0.2985,4
67,2,0,6,1,0,0,0,1,0.64,0.5758,0.83,0.1045,93
68,2,1,5,18,0,2,1,2,0.64,0.6061,0.69,0.2836,710
69,4,0,10,7,0,4,1,1,0.42,0.4242,0.62,0.194,302
70,2,1,6,8,0,4,1,1,0.52,0.5,0.77,0.0,681
71,4,1,11,5,0,0,0,2,0.22,0.2273,0.47,0.1642,3
72,1,1,2,15,0,4,1,1,0.32,0.303,0.36,0.2985,134
73,2,0,3,12,0,4,1,3,0.28,0.2727,0.93,0.194,90
74,3,0,8,2,0,3,1,2,0.78,0.7121,0.49,0.1642,11
75,3,0,8,16,0,3,1,1,0.76,0.6970000000000001,0.52,0.4179,271
76,2,0,6,20,0,1,1,1,0.64,0.6212,0.44,0.2537,331
77,1,1,12,9,1,2,0,2,0.24,0.2576,0.87,0.0,28
78,3,1,7,4,0,6,0,3,0.58,0.5455,0.88,0.2836,16
79,4,1,10,14,0,3,1,1,0.6,0.6212,0.4,0.1642,271
80,3,1,6,23,0,0,0,1,0.74,0.6818,0.58,0.1045,87
81,4,0,11,16,0,6,0,2,0.46,0.4545,0.47,0.1343,275
82,3,0,8,15,0,6,0,1,0.8,0.7273,0.43,0.194,390
83,3,1,7,18,0,2,1,3,0.7,0.6667,0.74,0.2239,819
84,3,0,8,6,0,1,1,1,0.56,0.5303,0.73,0.1343,102
85,2,1,4,3,0,5,1,1,0.44,0.4394,0.47,0.4925,3
86,3,1,7,11,0,1,1,2,0.78,0.7273,0.55,0.1343,215
87,2,1,5,21,0,5,1,1,0.6,0.6212,0.4,0.0,258
88,2,0,5,6,0,1,1,1,0.44,0.4394,0.72,0.2537,89
89,4,0,9,18,0,3,1,3,0.66,0.6061,0.83,0.2537,524
90,3,1,8,1,0,4,1,1,0.64,0.6061,0.65,0.0,23
91,2,0,5,5,0,1,1,2,0.44,0.4394,0.77,0.1343,20
92,2,0,3,3,0,4,1,3,0.24,0.2273,0.93,0.2239,1
93,3,1,9,9,0,5,1,1,0.7,0.6667,0.79,0.1343,344
94,3,0,7,1,0,5,1,1,0.74,0.7121,0.79,0.1343,34
95,3,0,7,0,0,1,1,2,0.76,0.7273,0.7,0.0,34
96,1,1,1,13,0,3,1,1,0.34,0.3333,0.49,0.1343,212
97,4,1,12,21,0,2,1,1,0.32,0.3182,0.53,0.194,207
98,2,0,4,17,0,2,1,3,0.44,0.4394,0.77,0.2239,291
99,2,1,3,21,0,2,1,1,0.36,0.3485,0.37,0.1642,221
100,3,1,7,6,0,0,0,1,0.64,0.6061,0.73,0.1642,18
101,3,1,9,21,0,2,1,1,0.74,0.7121,0.74,0.2537,268
102,4,1,12,15,0,0,0,2,0.38,0.3939,0.82,0.1045,338
103,1,0,3,5,0,5,1,2,0.16,0.1818,0.74,0.1343,7
104,1,0,1,21,0,6,0,1,0.06,0.1061,0.41,0.0896,39
105,1,0,1,4,0,1,1,1,0.2,0.197,0.59,0.2239,2
106,2,0,5,7,0,3,1,1,0.48,0.4697,0.72,0.194,318
107,4,1,10,4,0,4,1,1,0.4,0.4091,0.5,0.2537,10
108,3,1,8,6,0,3,1,2,0.7,0.6667,0.84,0.1642,173
109,1,1,12,7,1,2,0,2,0.22,0.2273,0.93,0.1642,6
110,1,1,2,1,0,3,1,1,0.34,0.3636,0.53,0.0,5
111,3,1,8,6,0,1,1,1,0.62,0.5909,0.73,0.0896,159
112,2,0,6,4,0,6,0,1,0.68,0.6364,0.79,0.0896,13
113,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
114,3,0,9,12,0,4,1,2,0.66,0.5909,0.94,0.2239,102
115,1,0,3,15,0,3,1,2,0.4,0.4091,0.76,0.2537,101
116,2,0,6,16,0,1,1,1,0.7,0.6364,0.37,0.4179,326
117,4,0,11,18,0,3,1,2,0.4,0.4091,0.58,0.5224,145
118,4,0,12,1,0,2,1,2,0.46,0.4545,0.88,0.2985,16
119,3,0,9,15,0,2,1,3,0.54,0.5152,0.94,0.3881,89
120,1,0,3,22,0,6,0,1,0.36,0.3788,0.71,0.0,63
121,3,1,6,0,0,4,1,1,0.66,0.6212,0.5,0.1045,54
122,2,1,4,15,0,0,0,1,0.7,0.6364,0.39,0.3881,617
123,2,0,5,18,0,5,1,3,0.54,0.5152,0.52,0.3582,470
124,2,0,5,12,0,3,1,1,0.56,0.5303,0.94,0.2985,54
125,4,1,11,4,0,6,0,1,0.26,0.2121,0.41,0.4478,3
126,3,0,7,0,0,6,0,1,0.68,0.6364,0.47,0.0896,115
127,2,1,5,9,0,4,1,1,0.5,0.4848,0.59,0.4627,361
128,3,0,8,10,0,2,1,2,0.8,0.7727,0.59,0.2239,144
129,3,1,6,1,0,6,0,1,0.66,0.6061,0.78,0.1343,123
130,4,1,12,18,0,6,0,2,0.34,0.3636,0.76,0.0,297
131,3,1,6,15,0,4,1,1,0.92,0.8333,0.33,0.1642,194
132,4,1,11,1,0,6,0,2,0.34,0.303,0.49,0.3284,89
133,2,0,3,1,0,0,0,2,0.24,0.2273,0.52,0.194,20
134,1,0,12,0,0,6,0,2,0.38,0.3939,0.62,0.3284,44
135,4,1,11,12,0,6,0,1,0.48,0.4697,0.48,0.0,606
136,1,0,2,6,0,4,1,1,0.3,0.303,0.7,0.1343,47
137,2,0,6,10,0,1,1,1,0.72,0.6667,0.51,0.2239,95
138,4,0,12,20,0,5,1,2,0.32,0.3182,0.45,0.194,152
139,3,0,9,13,1,1,0,2,0.74,0.6970000000000001,0.7,0.1343,389
140,2,0,4,20,0,0,0,1,0.52,0.5,0.36,0.194,141
141,3,1,8,22,0,5,1,2,0.7,0.6515,0.61,0.0,251
142,4,1,12,9,0,6,0,1,0.26,0.2727,0.75,0.1045,220
143,3,0,7,16,0,4,1,1,0.92,0.9242,0.48,0.2836,210
144,3,0,7,15,0,0,0,1,0.82,0.7424,0.43,0.2985,324
145,3,0,9,12,0,1,1,1,0.72,0.6667,0.51,0.194,184
146,4,1,12,6,0,3,1,1,0.24,0.2576,0.75,0.0896,112
147,3,0,6,16,0,2,1,1,0.86,0.8029999999999999,0.47,0.2836,261
148,2,0,4,4,0,6,0,2,0.42,0.4242,0.54,0.2239,7
149,4,1,11,23,0,2,1,2,0.26,0.2424,0.81,0.2537,67
150,2,0,5,12,0,3,1,1,0.6,0.6212,0.56,0.0,226
151,1,1,3,16,0,0,0,1,0.36,0.3182,0.29,0.4925,299
152,4,1,12,17,0,1,1,2,0.4,0.4091,0.94,0.2537,495
153,1,0,1,13,0,3,1,3,0.22,0.197,0.93,0.3284,47
154,1,1,3,5,0,5,1,3,0.4,0.4091,0.66,0.2836,29
155,4,1,10,19,0,3,1,2,0.4,0.4091,0.5,0.194,410
156,2,1,4,13,0,6,0,1,0.5,0.4848,0.22,0.194,643
157,3,0,8,14,0,2,1,1,0.9,0.7727,0.25,0.2836,159
158,4,1,10,13,0,4,1,1,0.62,0.6212,0.53,0.3582,332
159,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,44
160,4,1,10,21,0,4,1,2,0.54,0.5152,0.77,0.194,283
161,4,0,11,8,0,0,0,2,0.42,0.4242,0.71,0.2836,65
162,1,1,2,21,0,6,0,1,0.44,0.4394,0.33,0.2985,114
163,3,0,9,9,0,4,1,2,0.62,0.5455,0.94,0.194,203
164,3,0,8,5,0,0,0,1,0.7,0.6667,0.89,0.194,5
165,4,1,10,23,0,4,1,2,0.54,0.5152,0.83,0.0,117
166,3,0,7,6,0,6,0,1,0.72,0.6818,0.7,0.2985,24
167,3,1,7,1,0,4,1,2,0.66,0.6212,0.61,0.0,21
168,1,0,3,21,0,0,0,3,0.24,0.1818,0.93,0.6119,7
169,3,0,7,2,0,5,1,1,0.62,0.6061,0.69,0.0,13
170,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
171,3,1,8,5,0,1,1,1,0.7,0.6667,0.79,0.194,25
172,4,0,10,4,0,0,0,1,0.42,0.4242,0.54,0.194,12
173,3,1,9,12,0,5,1,2,0.7,0.6515,0.54,0.194,409
174,4,0,12,22,0,1,1,2,0.36,0.3485,0.57,0.1642,107
175,2,1,5,22,0,4,1,2,0.64,0.5909,0.78,0.1045,243
176,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7
177,4,0,10,9,0,0,0,1,0.4,0.4091,0.76,0.0,143
178,4,1,12,23,0,3,1,1,0.3,0.2727,0.49,0.3881,74
179,3,1,7,5,0,6,0,1,0.74,0.7121,0.74,0.194,14
180,4,0,12,7,0,5,1,2,0.38,0.3939,0.46,0.2985,231
181,3,0,7,23,0,1,1,1,0.7,0.6667,0.79,0.1343,55
182,4,0,11,15,0,5,1,1,0.46,0.4545,0.44,0.3881,237
183,2,0,4,13,0,0,0,1,0.7,0.6515,0.58,0.2836,441
184,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
185,2,0,6,19,0,3,1,1,0.82,0.8029999999999999,0.59,0.1343,384
186,3,0,7,21,0,6,0,1,0.74,0.6818,0.58,0.1642,238
187,1,1,3,10,0,6,0,2,0.5,0.4848,0.77,0.0896,443
188,1,0,1,9,0,3,1,2,0.24,0.2576,0.93,0.1045,109
189,4,0,10,9,0,3,1,2,0.48,0.4697,0.63,0.2239,240
190,3,1,7,20,0,3,1,1,0.74,0.6515,0.4,0.1642,567
191,2,1,4,23,0,6,0,1,0.46,0.4545,0.23,0.2239,118
192,4,1,12,3,0,5,1,2,0.26,0.2576,0.81,0.194,5
193,1,1,1,16,0,3,1,1,0.28,0.2273,0.3,0.5224,176
194,4,1,11,0,0,0,0,1,0.34,0.3485,0.81,0.0896,124
195,1,1,1,18,0,4,1,1,0.44,0.4394,0.67,0.194,421
196,3,0,8,13,0,4,1,1,0.76,0.7121,0.58,0.0,205
197,4,1,12,18,0,3,1,1,0.38,0.3939,0.5,0.3582,569
198,2,1,4,7,0,2,1,1,0.34,0.3485,0.71,0.1045,384
199,3,0,7,20,0,5,1,1,0.7,0.6515,0.51,0.2239,343
200,3,1,6,22,0,5,1,1,0.68,0.6364,0.69,0.1343,197
201,4,1,9,21,0,1,1,1,0.5,0.4848,0.51,0.1343,256
202,3,1,8,7,0,3,1,2,0.64,0.5758,0.83,0.1343,487
203,1,1,2,17,0,0,0,1,0.18,0.1515,0.37,0.4179,87
204,4,1,11,9,0,4,1,1,0.24,0.2879,0.6,0.0,299
205,1,1,1,19,0,1,1,2,0.26,0.2576,0.93,0.1642,220
206,2,0,3,11,0,3,1,2,0.34,0.3182,0.46,0.2537,90
207,3,1,9,1,0,1,1,1,0.54,0.5152,0.6,0.194,18
208,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
209,4,1,10,4,0,3,1,2,0.3,0.2879,0.87,0.194,5
210,1,1,2,8,0,4,1,2,0.3,0.3182,0.7,0.0896,498
211,3,0,9,23,0,4,1,1,0.64,0.6061,0.65,0.2537,126
212,2,0,5,2,0,2,1,2,0.66,0.5909,0.94,0.1343,12
213,2,1,5,0,0,3,1,2,0.58,0.5455,0.83,0.194,35
214,2,1,5,5,0,6,0,1,0.42,0.4242,0.67,0.1343,13
215,2,0,5,2,0,1,1,1,0.44,0.4394,0.94,0.0,8
216,2,0,5,3,0,6,0,1,0.56,0.5303,0.88,0.2239,15
217,4,1,12,4,0,3,1,1,0.5,0.4848,0.63,0.4478,10
218,1,1,3,4,0,0,0,2,0.34,0.3333,0.46,0.194,14
219,4,0,11,6,0,2,1,1,0.32,0.3182,0.81,0.194,93
220,3,0,9,4,0,6,0,1,0.46,0.4545,0.72,0.1343,5
221,2,0,6,14,0,3,1,1,0.9,0.8182,0.37,0.2537,145
222,2,0,5,9,0,3,1,3,0.34,0.303,0.93,0.3582,40
223,3,0,7,0,0,6,0,2,0.66,0.6061,0.83,0.1343,121
224,1,1,2,1,0,4,1,2,0.24,0.2424,0.87,0.1343,12
225,1,1,3,10,0,1,1,1,0.52,0.5,0.72,0.1343,184
226,2,1,5,11,0,0,0,1,0.66,0.6212,0.36,0.3284,581
227,3,1,8,20,0,4,1,1,0.78,0.7576,0.66,0.0,427
228,1,1,3,17,0,2,1,1,0.36,0.3333,0.34,0.2836,446
229,3,0,9,15,0,3,1,3,0.62,0.5455,0.94,0.1045,58
230,2,0,3,1,0,4,1,2,0.3,0.2879,1.0,0.2239,3
231,3,0,8,17,0,2,1,1,0.76,0.6818,0.45,0.3284,600
232,2,1,5,18,0,5,1,1,0.64,0.6061,0.23,0.2836,596
233,1,0,12,0,0,3,1,2,0.34,0.3333,0.71,0.1343,25
234,1,1,1,17,0,6,0,2,0.54,0.5152,0.43,0.1343,322
235,4,1,11,8,0,5,1,1,0.24,0.2576,0.87,0.0896,94
236,1,1,3,10,0,2,1,1,0.54,0.5152,0.88,0.194,163
237,4,1,10,12,0,0,0,1,0.54,0.5152,0.39,0.3284,675
238,3,1,7,3,0,2,1,1,0.68,0.6364,0.79,0.0,3
239,2,0,4,15,0,4,1,1,0.66,0.6212,0.69,0.3284,163
240,3,1,8,11,0,0,0,1,0.74,0.6667,0.42,0.1642,449
241,1,1,1,15,0,3,1,2,0.18,0.1515,0.37,0.3284,90
242,4,1,11,4,0,3,1,2,0.28,0.2576,0.52,0.2985,9
243,2,1,5,3,0,3,1,3,0.56,0.5303,0.88,0.1642,2
244,3,0,9,19,0,6,0,1,0.52,0.5,0.68,0.1343,256
245,2,1,5,13,0,4,1,1,0.62,0.6212,0.41,0.194,327
246,2,0,5,2,0,5,1,2,0.5,0.4848,0.88,0.1343,11
247,2,1,6,8,0,6,0,1,0.62,0.6061,0.61,0.1045,244
248,1,1,1,4,0,5,1,3,0.32,0.2879,0.7,0.4925,3
249,1,1,2,6,0,3,1,3,0.4,0.4091,0.54,0.1642,67
250,3,0,8,15,0,6,0,3,0.68,0.6364,0.79,0.3582,358
251,2,0,4,13,0,4,1,2,0.62,0.5758,0.83,0.2985,121
252,3,1,8,7,0,5,1,1,0.64,0.2424,0.73,0.1045,379
253,2,0,6,18,0,1,1,1,0.7,0.6364,0.37,0.3582,586
254,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
255,1,1,1,18,0,2,1,1,0.4,0.4091,0.4,0.1045,385
256,3,0,6,9,0,2,1,1,0.74,0.6970000000000001,0.7,0.0,246
257,1,0,1,11,0,1,1,2,0.16,0.1515,0.59,0.194,48
258,4,1,10,11,0,0,0,2,0.5,0.4848,0.51,0.3881,462
259,1,0,3,6,0,4,1,3,0.36,0.3333,0.0,0.3284,12
260,1,1,2,3,0,0,0,2,0.1,0.0455,0.46,0.6866,14
261,2,0,6,17,0,0,0,1,0.74,0.6667,0.51,0.0,397
262,1,1,3,23,0,4,1,1,0.48,0.4697,0.72,0.194,97
263,2,0,6,10,0,3,1,1,0.82,0.7424,0.43,0.2239,90
264,4,0,12,18,0,5,1,2,0.32,0.303,0.45,0.2537,295
265,4,0,10,11,0,4,1,3,0.5,0.4848,0.88,0.1343,52
266,3,1,8,10,0,1,1,2,0.76,0.6818,0.4,0.0,199
267,3,0,9,8,0,4,1,1,0.64,0.6061,0.73,0.1343,391
268,3,0,8,6,0,3,1,1,0.62,0.5909,0.78,0.0,105
269,3,1,9,16,0,3,1,1,0.76,0.7273,0.7,0.2537,430
270,2,0,6,2,0,1,1,1,0.62,0.5909,0.73,0.2836,10
271,2,1,5,14,0,5,1,1,0.62,0.6061,0.23,0.2239,334
272,4,1,12,13,0,4,1,2,0.36,0.3485,0.57,0.194,217
273,1,1,3,13,0,1,1,2,0.26,0.2576,0.55,0.2985,120
274,2,1,5,1,0,1,1,2,0.6,0.6061,0.6,0.2836,11
275,1,0,3,11,0,5,1,1,0.54,0.5152,0.52,0.2836,159
276,4,0,9,23,0,1,1,1,0.62,0.5455,0.94,0.1343,75
277,1,1,2,9,0,5,1,1,0.24,0.2273,0.65,0.194,270
278,4,0,10,11,0,6,0,1,0.58,0.5455,0.56,0.0,397
279,4,0,10,1,0,2,1,1,0.44,0.4394,0.77,0.1343,11
280,1,0,2,14,0,3,1,1,0.46,0.4545,0.28,0.4179,82
281,3,0,6,4,0,3,1,1,0.64,0.5758,0.83,0.0,11
282,2,0,5,19,0,4,1,1,0.78,0.6970000000000001,0.46,0.3284,378
283,2,0,6,7,0,3,1,1,0.66,0.6212,0.74,0.1045,353
284,4,1,12,6,0,4,1,2,0.3,0.3333,0.65,0.0,118
285,2,0,6,17,0,6,0,2,0.76,0.6818,0.48,0.1642,449
286,4,1,11,3,0,0,0,1,0.28,0.2879,0.61,0.1045,11
287,2,0,5,13,0,3,1,1,0.74,0.6818,0.55,0.1343,202
288,2,0,5,18,0,5,1,2,0.72,0.6818,0.62,0.2985,399
289,4,0,12,15,0,2,1,2,0.44,0.4394,0.54,0.0,154
290,2,0,4,9,0,2,1,3,0.52,0.5,0.63,0.0896,162
291,2,1,5,4,0,2,1,2,0.52,0.5,0.68,0.3284,5
292,3,0,7,23,0,1,1,1,0.74,0.6970000000000001,0.66,0.1642,91
293,3,1,9,15,0,6,0,1,0.74,0.6667,0.48,0.3881,750
294,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
295,4,1,12,6,0,4,1,1,0.22,0.2121,0.55,0.2985,124
296,1,1,3,19,0,0,0,1,0.56,0.5303,0.64,0.1642,352
297,3,0,7,17,0,4,1,1,0.92,0.9091,0.45,0.2985,414
298,4,1,12,13,0,3,1,2,0.34,0.3636,0.42,0.0,238
299,3,1,6,12,0,6,0,1,0.8,0.7273,0.43,0.194,602
300,2,1,4,20,0,1,1,1,0.46,0.4545,0.31,0.1642,329
301,1,0,3,5,0,2,1,1,0.24,0.2273,0.75,0.194,11
302,2,0,4,14,0,1,1,2,0.72,0.6667,0.54,0.3582,145
303,2,0,5,13,1,1,0,1,0.86,0.7879,0.44,0.0896,350
304,1,1,3,0,0,2,1,1,0.22,0.2121,0.37,0.2985,8
305,3,1,8,1,0,6,0,1,0.66,0.6212,0.74,0.2239,116
306,3,1,7,7,0,3,1,1,0.74,0.6970000000000001,0.66,0.1642,495
307,3,1,7,19,0,5,1,1,0.88,0.7879,0.35,0.2239,418
308,4,0,10,19,1,1,0,2,0.58,0.5455,0.78,0.0896,336
309,4,0,12,1,0,3,1,2,0.46,0.4545,1.0,0.2537,13
310,3,1,8,19,0,0,0,2,0.64,0.6061,0.73,0.1343,341
311,2,1,6,11,0,0,0,1,0.76,0.6818,0.45,0.0896,499
312,1,0,1,6,0,6,0,2,0.02,0.0303,0.44,0.2239,2
313,4,1,9,22,0,5,1,2,0.58,0.5455,0.53,0.2239,220
314,1,1,2,19,0,1,1,1,0.5,0.4848,0.29,0.3881,334
315,3,1,7,5,0,1,1,2,0.66,0.5909,0.94,0.1343,51
316,3,0,8,11,0,5,1,2,0.72,0.6818,0.66,0.0896,165
317,4,0,11,16,0,2,1,3,0.4,0.4091,0.87,0.2239,151
318,4,0,10,22,0,2,1,2,0.52,0.5,0.77,0.1642,137
319,4,1,12,18,0,3,1,1,0.42,0.4242,0.35,0.4478,609
320,2,0,4,22,0,0,0,3,0.54,0.5152,1.0,0.1642,45
321,1,0,2,6,0,5,1,3,0.34,0.3485,0.93,0.0896,11
322,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,13
323,3,0,8,3,0,6,0,2,0.66,0.6061,0.78,0.1642,42
324,4,1,11,11,1,4,0,1,0.42,0.4242,0.41,0.0896,232
325,4,0,11,22,0,2,1,1,0.36,0.3788,0.81,0.0,96
326,3,0,9,14,0,4,1,2,0.64,0.6061,0.65,0.4179,170
327,1,1,2,7,0,3,1,2,0.3,0.2879,0.65,0.194,321
328,3,0,7,11,0,2,1,1,0.82,0.7121,0.3,0.0,151
329,2,0,4,20,0,0,0,1,0.46,0.4545,0.82,0.1343,92
330,2,0,4,10,0,1,1,1,0.64,0.6061,0.73,0.2239,125
331,1,1,1,1,0,5,1,2,0.38,0.3939,0.76,0.2985,12
332,2,1,5,21,0,4,1,1,0.68,0.6364,0.44,0.1642,359
333,3,0,6,18,0,4,1,1,0.76,0.6667,0.29,0.2537,586
334,1,0,2,7,0,3,1,3,0.22,0.2121,0.93,0.2239,49
335,4,1,10,3,0,5,1,1,0.54,0.5152,0.73,0.0,16
336,3,1,6,7,0,5,1,1,0.74,0.6818,0.58,0.1642,359
337,4,0,11,7,0,5,1,1,0.22,0.2273,0.44,0.1642,216
338,1,1,1,11,0,2,1,1,0.42,0.4242,0.38,0.2985,101
339,4,1,11,7,0,0,0,1,0.3,0.3182,0.89,0.0896,68
340,1,1,1,17,0,2,1,1,0.14,0.1061,0.26,0.4627,245
341,1,1,3,16,0,2,1,1,0.36,0.3333,0.32,0.2836,250
342,1,0,2,3,0,4,1,1,0.18,0.1667,0.43,0.2537,1
343,1,1,1,0,0,5,1,1,0.22,0.2576,0.75,0.0896,25
344,3,0,9,22,0,6,0,1,0.5,0.4848,0.72,0.2239,143
345,3,1,7,17,0,4,1,1,0.86,0.7879,0.41,0.0,771
346,3,0,8,6,0,4,1,1,0.66,0.6061,0.83,0.3284,102
347,1,1,2,15,1,1,0,1,0.34,0.3182,0.34,0.2239,289
348,2,0,3,1,0,1,1,1,0.22,0.2273,0.44,0.194,6
349,4,0,11,12,0,5,1,1,0.46,0.4545,0.51,0.1045,272
350,1,1,12,2,0,5,1,3,0.46,0.4545,0.94,0.3881,3
351,3,0,8,10,0,5,1,1,0.72,0.6818,0.62,0.0896,165
352,4,0,11,3,1,5,0,1,0.3,0.2879,0.61,0.194,6
353,1,1,1,11,0,2,1,1,0.4,0.4091,0.37,0.2836,139
354,2,0,4,8,0,6,0,1,0.4,0.4091,0.54,0.2985,91
355,2,1,5,11,0,3,1,1,0.64,0.6061,0.73,0.0,197
356,2,0,4,23,0,1,1,3,0.58,0.5455,0.6,0.0,54
357,4,1,10,17,0,4,1,1,0.5,0.4848,0.39,0.2836,827
358,1,1,2,21,0,0,0,1,0.14,0.1212,0.43,0.2985,36
359,3,0,9,7,0,0,0,1,0.66,0.6061,0.78,0.194,30
360,1,0,2,7,0,6,0,1,0.22,0.2576,0.6,0.0896,22
361,3,0,9,20,0,1,1,1,0.66,0.6212,0.65,0.0,299
362,4,1,11,10,0,0,0,1,0.4,0.4091,0.69,0.1045,405
363,3,0,7,17,0,0,0,1,0.9,0.8333,0.39,0.1045,249
364,1,1,3,22,0,1,1,2,0.56,0.5303,0.56,0.2239,133
365,1,1,3,18,0,6,0,1,0.62,0.6212,0.57,0.2985,560
366,3,0,9,19,0,2,1,1,0.68,0.6364,0.69,0.1642,396
